  1, 1, 0.556761469,0.62,10255741,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,10255741,503640,201280,59625,11484,0,-500,-1500, 0.070315027
  2, 1, 0.556761469,0.60,9997200,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,9997200,939798,398956,124925,23465,0,-3250,-5000, 0.070434741
  3, 1, 0.556761469,0.70,1990657,0.0127,0.0055,0.0705,0.8512,0.0545,0.0050,0.0005,0.0001,1990657,127827,49364,0,-22345,-28192,-29480,-29884, 0.104109946
  4, 1, 0.556761469,0.58,37524383,0.0127,0.0055,0.0705,0.8512,0.0545,0.0050,0.0005,0.0001,37524383,2820870,1006907,0,-405563,-496704,-517622,-523328, 0.104341703
  5, 1, 0.556761469,0.54,4997650,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,4997650,459148,188151,50840,0,-11759,-13387,-14264, 0.082614404
  6, 1, 0.556761469,0.66,5129617,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,5129617,246527,95071,24115,0,-5752,-6002,-6503, 0.082192829
  7, 1, 0.556761469,0.58,7493628,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,7493628,739506,285185,72337,0,-17255,-18006,-19508, 0.082606620
  8, 2, 0.517221383,0.56,5127523,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,5127523,168243,93177,37142,8482,0,-1813,-2438, 0.070338303
  9, 2, 0.517221383,0.62,4999239,0.0002,0.0000,0.0001,0.0007,0.0026,0.0763,0.9084,0.0117,4999239,254341,175537,78520,22370,3647,0,-1292, 0.060278778
 10, 2, 0.517221383,0.56,5269755,0.0664,0.0304,0.8320,0.0652,0.0043,0.0013,0.0003,0.0001,5269755,125378,0,-69595,-97627,-103926,-105372,-105766, 0.166148908
 11, 2, 0.517221383,0.68,2054086,0.0127,0.0055,0.0705,0.8512,0.0545,0.0050,0.0005,0.0001,2054086,89533,28564,0,-9708,-12023,-12124,-12326, 0.103629707
 12, 2, 0.517221383,0.56,4993055,0.0127,0.0055,0.0705,0.8512,0.0545,0.0050,0.0005,0.0001,4993055,448872,143204,0,-48668,-60277,-60783,-61794, 0.104617527
 13, 2, 0.517221383,0.74,1024988,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,1024988,32006,16967,5742,0,-1699,-2062,-2188, 0.082163677
 14, 2, 0.517221383,0.60,1998250,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,1998250,183585,75229,20327,0,-4702,-5353,-5704, 0.082614374
 15, 2, 0.517221383,0.62,2051314,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,2051314,46557,30741,11270,0,-3757,-4489,-4749, 0.082122663
 16, 3, 0.621119239,0.62,5127741,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,5127741,125417,85993,37457,9366,0,-1825,-2471, 0.070344629
 17, 3, 0.621119239,0.56,10299501,0.0127,0.0055,0.0705,0.8512,0.0545,0.0050,0.0005,0.0001,10299501,375642,134085,0,-54007,-66144,-68929,-69689, 0.103496494
 18, 3, 0.621119239,0.60,37558170,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,37558170,2409354,1277288,432229,0,-127915,-155247,-164677, 0.082547095
 19, 4, 0.546947130,0.50,24992751,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,24992751,1682672,931906,371478,84831,0,-18126,-24380, 0.070483789
 20, 4, 0.546947130,0.54,500063,0.0127,0.0055,0.0705,0.8512,0.0545,0.0050,0.0005,0.0001,500063,26631,11383,0,-5821,-7544,-7912,-8039, 0.103878347
 21, 4, 0.546947130,0.70,998901,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,998901,98576,38015,9643,0,-2300,-2400,-2600, 0.082606647
 22, 5, 0.453238348,0.50,499805,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,499805,33650,18636,7429,1696,0,-363,-488, 0.070483719
 23, 5, 0.453238348,0.54,1998590,0.0018,0.0016,0.0080,0.0488,0.8849,0.0520,0.0024,0.0005,1998590,183616,75242,20330,0,-4703,-5354,-5705, 0.082614358
 24, 6, 0.533616068,0.66,4997845,0.0002,0.0001,0.0013,0.0050,0.0507,0.9183,0.0239,0.0005,4997845,343444,184807,70099,15356,0,-3200,-4221, 0.070465124
 25, 6, 0.533616068,0.60,499880,0.0002,0.0000,0.0001,0.0007,0.0026,0.0763,0.9084,0.0117,499880,50410,20177,6012,1198,50,0,-100, 0.060223978
 26, 6, 0.533616068,0.66,2051119,0.0001,0.0000,0.0000,0.0002,0.0000,0.0073,0.0706,0.9218,2051119,68221,38217,15820,4364,974,250,0, 0.050113614
